湖南台,#genre#
tvN_Movies_Asia,http://210.210.155.37/dr9445/h/h21/index.m3u8
TVB_News,http://r.jdshipin.com/CkuBd
Good,https://live.streamingfast.net/osmflivech1.m3u8
Good_2,https://live.streamingfast.net/osmflivech2.m3u8
Beautiful_Life_TV,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
Supreme_Master_TV,https://lbs-us1.suprememastertv.com/720p.m3u8
TVBS-Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
Taiwan_Plus_TV,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
Genius_Go_Go_Go,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
DaAi_1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
DaAi_2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
Dali_TV,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
EBC_YOYO,https://ythls.armelin.one/channel/UCiWRSesvSYmY7YOyz0tv_zQ.m3u8
CTi_News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
FTV_News,https://ythls.armelin.one/channel/UC2VmWn8dAqkzlQqvy02E1PA.m3u8
Global_News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
SET_iNews,https://ythls.armelin.one/channel/UCoNYj9OFHZn3ACmmeRCPwbA.m3u8
TTV_News,https://ythls.armelin.one/channel/UC8ROUUjHzEQm-ndb69CX8Ww.m3u8
mnews,https://ythls.armelin.one/channel/UC4LjkybVKXCDlneVXlKAbmw.m3u8
ET_Mall_60,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8
寰宇新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
东森财经新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
Momo_1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
Momo_2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8
信大,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8
DW,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
NU,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV10.m3u8
NU2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV14.m3u8
华视HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
JP1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV15.m3u8
KPop,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV16.m3u8
民视新闻HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8

央视台,#genre#
CCTV-4_中文国际,https://edge2.laotv.la/live/CCTV4A/sc-gaFECQ/a1_index.m3u8
CCTV-4K_高清,https://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-6_电影频道,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022574302.m3u8
CCTV-8_电视剧,http://183.196.25.171:808/hls/77/index.m3u8
CCTV-10_科教,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022573002.m3u8
CCTV-11_戏曲,http://183.196.25.171:808/hls/11/index.m3u8
CCTV-15_音乐,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022575502.m3u8
CCTV-16_4K,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022575402.m3u8
CCTV-17_农业农村,http://183.196.25.171:808/hls/93/index.m3u8
CGNT_记录频道,http://player.200877926.top/169l/vjs/?id=https://livedoc.cgtn.com/1000d/prog_index.m3u8
CGNT_新闻频道,http://player.200877926.top/169l/vjs/?id=http://live.cgtn.com/1000/prog_index.m3u8

卫视台,#genre#
浙江卫视,https://zhfivel02.cztv.com/channel01/720p.m3u8?auth_key=1713684075-585ca36f32b6819dc99a3dd559b238ca-0-d7817a29e9870139a18112bcbc7025e1
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
东方卫视,https://volc-stream.kksmg.com/live/dfws/index.m3u8?volcSecret=66df54060a31041faf0ed783f9bfbdd8&volcTime=1713773226
江苏卫视,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2000295602.m3u8
安徽卫视,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2000298002.m3u8
重庆卫视,http://player.200877926.top/videojs.php?id=https://sjlivecdn9.cbg.cn/202404211537/app_2/_definst_/ls_2.stream/chunklist.m3u8
北京卫视,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2000272102.m3u8
辽宁卫视,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2000281302.m3u8
黑龙江卫视,http://player.200877926.top/videojs.php?id=https://idclive.hljtv.com:4430/live/hljws_own.m3u8
山东卫视,http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8?wsSession=6eb0e34828c7a9574a96d5fd-171368685064693&wsIPSercert=f1ed5e80c31ab65580d88c6bbb451005
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
四川卫视,https://tvshow.scgchc.com/hdlive/sctv18f9fb5888dedbe0c6a1b/1.m3u8
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=fd61d71f61e9c6e09cb309348063c9e5&wsTime=1713694212
广东卫视,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2000292702.m3u8
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=f1b16a3a3866dafecb94ec2bb4160e58
吉林卫视,http://stream1.jlntv.cn/jlws/playlist.m3u8?_upt=31cfef3c1713694107
陕西卫视,http://stream.snrtv.com/sxbc-star-owzHOZ.m3u8
宁夏卫视,http://stream.nxtv.com.cn/wspd/sd/live.m3u8?_upt=a36e59d31713825550
西藏卫视,https://tv.vtibet.cn/live/vuXz3cg3TmRUYg.m3u8?secret=5863d08403fe53cef839b59884b1fe7f&time=6624c988
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8?txSecret=ac4608d03b3fec4557d137827a3f4bb6&txTime=95A66655
海南卫视,https://live2.hnntv.cn/srs/tv/lywsgq.m3u8?_upt=f0f5c9af1713689292
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=a934253e1713686460
三沙卫视,https://live2.hnntv.cn/srs/tv/ssws.m3u8?_upt=2a10477f1713687375
